,id,date,text,username,conversationId,sentiment
0,1633631156749910018,2023-03-09 00:49:53+00:00,provocative during the last few years i have expressed my frustration with google search deeming it primitive ai notwithstanding alphabet’s deepmind expertise openaimicrosoft’s chatgpt is the “iphone moment” of this decade changing everything disruptive innovation,CathieDWood,1633631156749910018,0
1,1633493609306619904,2023-03-08 15:43:19+00:00,important perspective,CathieDWood,1633493609306619904,1
2,1631526746620084224,2023-03-03 05:27:43+00:00,on cnbc this week saraeisen asked if tesla is cutting prices in response to competition after investor day skorusark illustrated that tesla is passing along drivetrain cost declines that will cut the price of the model in half to undercutting competition,CathieDWood,1631526746620084224,0
3,1631130113554235392,2023-03-02 03:11:38+00:00,welcome to arkinvest daniel we are delighted that you will be working with tashaark and skorusark to research autonomous mobility the biggest technologicallyenabled revenue opportunity that we expect to evolve during the next five to ten years,CathieDWood,1631130113554235392,1
4,1626809644197769216,2023-02-18 05:03:38+00:00,one more thought arkinvest has a five year investment time horizon now that the most brutal interest rate increase in history is near an end growth stocks in general and innovationbased strategies in particular should make up for lost time,CathieDWood,1626809644197769216,0
5,1626807111232413696,2023-02-18 04:53:34+00:00,thank you ericbalchunas for defending active equity management upon hearing why i founded arkinvest in a friend who was not in the investment business said “oh you mean the future of investing is investing in the future” yes please see ark’s big ideas ,CathieDWood,1626807111232413696,1
6,1626801179777765377,2023-02-18 04:30:00+00:00,think about ai as the assembly line for knowledge workers roughly years ago the assembly line turbocharged the industrial revolution today ai is turbocharging the digital revolution not only for enterprises but also for consumers,CathieDWood,1626801179777765377,0
7,1626799541935648769,2023-02-18 04:23:29+00:00,charlie munger and many on wall street do not understand that passing along the lower costs associated with technologicallyenabled innovation in tesla’s case batteries and drivetrains will cause a boom in unit demand discrediting the keynesianfed’s phillips curve model,CathieDWood,1626799541935648769,0
8,1625666819918004224,2023-02-15 01:22:27+00:00,the fold increase in lithium prices during the past two years is a clarion call for more production and supply now that catl in china samsung and lg in korea and major auto makers have committed to the ev revolution odds are high that lithium will be in excess supply…,CathieDWood,1625666819918004224,-1
9,1624258280812945408,2023-02-11 04:05:26+00:00,so activity moves to offshore exchanges or to self custody self sovereignty and self control decentralization wins great given regulatory arbitrage however us exchanges lose to foreign exchanges not so good for us competitiveness in the crypto revolutions in my view,CathieDWood,1624258280812945408,0
10,1623888358656147456,2023-02-10 03:35:29+00:00,arkinvest is thrilled that emmaline and camilla students participating in the pilot sixth grade science curriculum powered by our research at the pinellas park middle school received the fast award for their science project and will compete at the florida state science fair,CathieDWood,1623888358656147456,1
11,1623151071760637952,2023-02-08 02:45:46+00:00,connected tv should be a prime beneficiary of the billion shift in advertising dollars from linear to digital tv in the us and the billion shift globally good catch andrewkimark,CathieDWood,1623151071760637952,1
12,1621736241107550208,2023-02-04 05:03:44+00:00,‼️,CathieDWood,1621736241107550208,-1
13,1621644756576075776,2023-02-03 23:00:13+00:00,bitcoin monthly includes several important charts suggesting seller exhaustion and robust fundamentals thank you dpuellark and yassineark,CathieDWood,1621644756576075776,1
14,1620624262792093696,2023-02-01 03:25:08+00:00,"today arkinvest published the seventh edition of big ideas according to our research the market value of disruptive innovation platforms could scale at an annual rate during this cycle from trillion today to trillion by 

",CathieDWood,1620624262792093696,-1
