,id,date,text,username,conversationId,sentiment
0,1633876365651918848,2023-03-09 17:04:16+00:00,concerning,elonmusk,1633876365651918848,1
1,1633767312565125120,2023-03-09 09:50:55+00:00,sometimes we miss here at starbase ,elonmusk,1633767312565125120,0
2,1633597893860020224,2023-03-08 22:37:43+00:00,🤬 ,elonmusk,1633597893860020224,-1
3,1633587625092169730,2023-03-08 21:56:55+00:00,"ltinsert cartridgegt 
ltrun programgt ",elonmusk,1633587625092169730,0
4,1633177967210930178,2023-03-07 18:49:05+00:00,livestream interview in mins at morgan stanley conference ,elonmusk,1633177967210930178,0
5,1632906725312561153,2023-03-07 00:51:15+00:00,"be careful to not almost die from using this app too long on the 

i speak from experience ",elonmusk,1632906725312561153,0
6,1632900291229110272,2023-03-07 00:25:41+00:00,"this helpful video explains what happened at twitter today
",elonmusk,1632900291229110272,1
7,1632865818563293190,2023-03-06 22:08:42+00:00,"accounts engaging in repeated egregious weaponization of dmca on twitter or encouraging weaponization of dmca will receive temporary suspensions 

that said reasonable media takedown requests are of course appropriate and will always be supported",elonmusk,1632865818563293190,0
8,1632681788941139972,2023-03-06 09:57:26+00:00,sorry for turning twitter from nurturing paradise into place that has … trolls 🧌 ,elonmusk,1632681788941139972,0
9,1632524437227716608,2023-03-05 23:32:11+00:00,add fun to the fda amp rename to ffda,elonmusk,1632524437227716608,1
10,1632275726912110593,2023-03-05 07:03:54+00:00,how to sabotage an organization … ,elonmusk,1632275726912110593,0
11,1632184992779444226,2023-03-05 01:03:21+00:00,aiming to roll out ability to reply to individual dms use any reaction emoji amp encryption later this month,elonmusk,1632184992779444226,0
12,1632060356930555904,2023-03-04 16:48:05+00:00,we should defund the gec,elonmusk,1632060356930555904,0
13,1632017143498788867,2023-03-04 13:56:23+00:00,something should be done ,elonmusk,1632017143498788867,1
14,1631746850054352897,2023-03-03 20:02:20+00:00, mt to orbit this year so far,elonmusk,1631746850054352897,1
15,1631725881378082816,2023-03-03 18:39:00+00:00,another launch,elonmusk,1631725881378082816,1
16,1631720134636367872,2023-03-03 18:16:10+00:00,“i used to be in crypto but now i got interested in ai,elonmusk,1631720134636367872,1
17,1631199184203182080,2023-03-02 07:46:06+00:00,"the ability of twitter advertising to reach the most influential people in the world is often not fully appreciated

while a few other social networks are technically bigger twitter is where the writers amp leaders spend their time",elonmusk,1631199184203182080,0
18,1631126559015747585,2023-03-02 02:57:31+00:00,"twice as many people died in japan last year as were born population freefall

rest of the world is trending to follow

",elonmusk,1631126559015747585,-1
